               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11705,            0.015514,             0.07837,            0.013689,               0.275,            0.011107,           0.0022386,            0.064978,            0.013501,            0.045751,               2e-05,               2e-05,             0.09982
                   1,             0.11265,              0.0162,            0.079517,            0.023944,               0.425,            0.020846,           0.0041924,            0.064077,            0.013608,            0.045495,               5e-05,               5e-05,             0.09955
                   2,             0.10605,            0.018163,            0.081248,            0.024614,               0.475,             0.02331,           0.0045999,            0.063118,            0.013692,            0.045153,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.10444,            0.017505,            0.078551,            0.023154,                 0.5,            0.023104,           0.0046795,            0.061922,            0.013859,             0.04477,          0.00010999,          0.00010999,             0.09901
                   4,             0.10128,            0.020294,            0.078386,            0.023438,               0.525,            0.026835,           0.0052232,             0.06054,            0.014058,            0.044394,          0.00013998,          0.00013998,             0.09874
                   5,               0.096,            0.019546,            0.075367,            0.023531,               0.575,            0.027649,           0.0046985,            0.058903,             0.01431,            0.044038,          0.00016996,          0.00016996,             0.09847
                   6,            0.093846,            0.017508,            0.074288,              0.0223,               0.575,            0.027813,           0.0044477,            0.056737,            0.014658,            0.043667,          0.00019994,          0.00019994,              0.0982
                   7,            0.090642,            0.024137,             0.07276,            0.026141,             0.73585,            0.040921,           0.0063519,             0.05506,            0.014903,             0.04332,           0.0002299,           0.0002299,             0.09793
                   8,            0.087205,             0.02449,            0.069959,            0.065087,                0.15,            0.065383,           0.0084425,            0.053355,            0.015129,            0.042922,          0.00025985,          0.00025985,             0.09766
                   9,            0.080446,            0.021595,            0.069843,            0.035827,             0.43717,            0.047933,           0.0068574,              0.0523,            0.015251,            0.042322,          0.00028979,          0.00028979,             0.09739
                  10,            0.086111,            0.024977,            0.068586,            0.030961,                0.55,            0.040896,           0.0071237,            0.051224,            0.015421,            0.041785,          0.00031972,          0.00031972,             0.09712
                  11,            0.079514,            0.023904,            0.063712,            0.042178,                0.45,            0.043253,           0.0068778,             0.05037,            0.015507,            0.041356,          0.00034962,          0.00034962,             0.09685
                  12,            0.076454,            0.025868,             0.06246,              0.1155,               0.075,             0.04373,           0.0083231,            0.049023,             0.01565,             0.04095,          0.00037951,          0.00037951,             0.09658
                  13,            0.078773,            0.024814,            0.061811,            0.072365,                 0.1,            0.059305,           0.0099706,            0.047512,            0.015794,            0.040471,          0.00040938,          0.00040938,            0.096309
                  14,             0.07897,            0.020056,            0.063339,            0.042879,                 0.6,            0.050919,            0.011489,            0.044856,            0.016107,            0.039948,          0.00043923,          0.00043923,            0.096039
                  15,            0.077433,            0.021949,            0.060269,            0.086484,               0.525,            0.093389,             0.01484,            0.042189,            0.016352,            0.039437,          0.00046906,          0.00046906,            0.095769
                  16,            0.074865,            0.027206,            0.058651,             0.10391,               0.725,             0.10864,            0.021652,            0.041897,            0.016168,             0.03876,          0.00049886,          0.00049886,            0.095499
                  17,            0.067453,            0.026849,            0.056034,             0.13093,                0.65,             0.15987,            0.034253,            0.040734,            0.016128,            0.037985,          0.00052864,          0.00052864,            0.095229
                  18,            0.067312,            0.025979,            0.052862,             0.15245,                 0.6,             0.19154,            0.063207,            0.038974,            0.016198,            0.037181,          0.00055839,          0.00055839,            0.094958
                  19,               0.072,            0.024775,            0.054275,               0.225,               0.525,             0.25164,            0.086737,             0.03685,            0.016318,            0.036334,          0.00058811,          0.00058811,            0.094688
